                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.59374,                0.39644,                 1.0268,                0.99469,                0.99656,                0.99496,                0.92112,                0.42585,                0.26771,                0.85752,              0.0004952,              0.0004952,              0.0004952
                     78,                0.59726,                0.39183,                  1.025,                0.99524,                0.99645,                  0.995,                0.92165,                0.41408,                0.23921,                0.85494,              0.0004754,              0.0004754,              0.0004754
                     79,                0.59346,                0.38893,                 1.0317,                0.99451,                0.99823,                0.99498,                0.92479,                0.40684,                0.23787,                0.85071,              0.0004556,              0.0004556,              0.0004556
                     80,                0.58572,                0.38746,                 1.0294,                0.99436,                0.99823,                  0.995,                0.92627,                0.41904,                0.24132,                0.85566,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60243,                0.39536,                 1.0346,                0.99521,                0.99823,                0.99495,                0.92496,                0.41691,                0.23948,                 0.8555,               0.000416,               0.000416,               0.000416
                     82,                0.61604,                0.40714,                 1.0338,                0.99647,                0.99965,                0.99498,                0.92861,                0.39842,                0.23069,                0.84604,              0.0003962,              0.0003962,              0.0003962
                     83,                0.59823,                0.39165,                 1.0359,                0.99622,                      1,                  0.995,                0.92996,                0.39196,                0.22962,                0.84455,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58774,                0.38908,                 1.0188,                0.99622,                      1,                  0.995,                0.92681,                0.39119,                0.22672,                0.84249,              0.0003566,              0.0003566,              0.0003566
                     85,                0.60101,                0.38918,                 1.0291,                0.99647,                0.99964,                  0.995,                0.92326,                0.38849,                0.22865,                0.84325,              0.0003368,              0.0003368,              0.0003368
                     86,                0.58655,                0.36049,                 1.0177,                0.99616,                      1,                  0.995,                0.92569,                0.38762,                0.22665,                0.84401,               0.000317,               0.000317,               0.000317
                     87,                0.58552,                0.38577,                 1.0252,                0.99617,                      1,                  0.995,                0.92786,                0.38778,                0.22685,                 0.8423,              0.0002972,              0.0002972,              0.0002972
                     88,                0.58112,                0.37062,                 1.0175,                0.99637,                0.99823,                  0.995,                0.93229,                0.38016,                0.22638,                0.83862,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.5997,                 0.3931,                 1.0308,                0.99646,                 0.9976,                  0.995,                0.92843,                0.38674,                0.22758,                0.83995,              0.0002576,              0.0002576,              0.0002576
                     90,                0.58656,                0.37631,                 1.0278,                0.99469,                0.99706,                  0.995,                0.93388,                0.37972,                0.22335,                0.83867,              0.0002378,              0.0002378,              0.0002378
                     91,                0.39499,                0.34157,                0.88483,                0.99606,                      1,                  0.995,                0.92613,                 0.3874,                0.23166,                0.84087,               0.000218,               0.000218,               0.000218
                     92,                0.40091,                 0.2988,                0.88218,                0.99069,                      1,                0.99498,                0.93032,                0.38826,                0.23324,                0.84229,              0.0001982,              0.0001982,              0.0001982
                     93,                0.38554,                0.27903,                 0.8756,                0.99626,                      1,                  0.995,                0.92426,                0.38976,                 0.2242,                0.84228,              0.0001784,              0.0001784,              0.0001784
                     94,                0.38096,                0.26951,                0.87483,                 0.9974,                      1,                  0.995,                0.93496,                0.38215,                 0.2231,                0.84223,              0.0001586,              0.0001586,              0.0001586
                     95,                0.38493,                0.26847,                0.88504,                0.99896,                      1,                  0.995,                0.93696,                0.37643,                0.21531,                0.84063,              0.0001388,              0.0001388,              0.0001388
                     96,                0.38784,                0.25815,                0.86674,                0.99945,                      1,                  0.995,                0.93915,                0.37058,                0.21465,                0.83715,               0.000119,               0.000119,               0.000119
                     97,                0.38103,                0.26058,                0.87716,                0.99957,                      1,                  0.995,                 0.9386,                0.36565,                0.20912,                 0.8353,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.37012,                0.25662,                0.88154,                0.99957,                      1,                  0.995,                0.93561,                0.36814,                0.20924,                0.83653,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.37107,                0.25568,                0.87151,                0.99957,                      1,                  0.995,                 0.9371,                0.36662,                0.20674,                0.83675,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.37482,                0.24997,                0.86794,                 0.9996,                      1,                  0.995,                 0.9393,                0.36401,                0.20373,                0.83511,               3.98e-05,               3.98e-05,               3.98e-05
