                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.81955,                0.63535,                 1.3697,                0.97159,                0.97012,                0.99224,                0.87497,                0.53553,                0.38211,                 1.1844,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.8054,                0.61924,                 1.3664,                0.97477,                0.95891,                0.99041,                0.87328,                0.53635,                0.39416,                  1.186,              0.0002378,              0.0002378,              0.0002378
                     91,                0.57483,                 0.5476,                 1.2015,                0.97058,                 0.9734,                0.99029,                0.87271,                0.53653,                 0.3779,                 1.1848,               0.000218,               0.000218,               0.000218
                     92,                0.56865,                0.46744,                 1.1896,                0.97315,                0.96406,                 0.9925,                0.88086,                0.52775,                0.36393,                 1.1734,              0.0001982,              0.0001982,              0.0001982
                     93,                0.56565,                0.44853,                 1.1957,                0.96492,                0.98227,                0.99213,                0.87959,                0.52775,                0.36957,                 1.1758,              0.0001784,              0.0001784,              0.0001784
                     94,                0.54459,                 0.4212,                 1.1635,                0.97039,                0.97163,                0.99118,                0.88172,                0.51206,                0.36872,                 1.1558,              0.0001586,              0.0001586,              0.0001586
                     95,                0.54915,                 0.4223,                 1.1887,                0.96931,                0.97695,                0.99258,                0.88523,                0.50608,                 0.3536,                 1.1495,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.5465,                0.41604,                 1.1578,                0.96085,                 0.9805,                0.99297,                0.88991,                0.50055,                0.35008,                 1.1467,               0.000119,               0.000119,               0.000119
                     97,                0.53805,                0.42042,                 1.1604,                0.96259,                0.97695,                0.99194,                0.88412,                0.51009,                0.36085,                 1.1556,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.52765,                0.41283,                 1.1619,                0.97831,                0.97163,                 0.9935,                0.89116,                0.49992,                0.34154,                 1.1436,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.51632,                0.40595,                 1.1475,                0.98197,                0.97163,                0.99323,                0.89104,                 0.4956,                0.34483,                 1.1402,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.51806,                0.40111,                 1.1427,                0.98029,                0.97021,                0.99274,                0.89545,                0.49191,                0.34329,                 1.1336,               3.98e-05,               3.98e-05,               3.98e-05
